"ID","condition","correct","rt"
1,1,1,639.220926276318
1,1,0,446.964828159248
1,1,1,984.195744553414
1,1,1,960.085766840593
1,1,1,518.973633110074
1,1,1,465.329892982647
1,1,0,543.383844074278
1,1,1,607.934955800214
1,1,1,662.663548168921
1,1,1,535.803703837394
1,1,0,726.332891729348
1,1,0,616.991902967754
1,1,1,844.852692732532
1,1,1,772.122665549651
1,1,1,806.782877409606
1,1,0,995.530283675387
1,1,1,1709.97462337563
1,1,1,743.832539044581
1,1,0,842.397701311827
1,1,0,743.855637321404
1,1,1,532.07106056859
1,1,0,1220.05864494763
1,1,0,691.201833141559
1,1,1,646.460781507821
1,1,0,567.34260625335
1,1,1,527.732915018384
1,1,1,636.134549265313
1,1,1,590.531625263119
1,1,1,490.252600111027
1,1,1,627.101397682793
1,1,1,583.967077680533
1,1,0,1164.33125594333
1,1,1,619.912015039782
1,1,0,564.948427527376
1,1,0,489.100150397584
1,1,0,529.712362192488
1,1,0,892.82858489799
1,1,1,489.039551944814
1,1,1,568.797724076
1,1,1,524.539952188504
1,1,1,731.744213277735
1,1,1,631.856983615959
1,1,1,524.153035463145
1,1,1,578.280230332275
1,1,1,626.759571243529
1,1,1,619.35043810468
1,1,1,1140.45896947147
1,1,0,447.499582974841
1,1,0,856.652030948521
1,1,1,530.124570263491
1,1,1,694.307194623796
1,1,0,1688.09071354017
1,1,0,491.170140607522
1,1,1,533.443423546546
1,1,1,1269.05707470251
1,1,1,1435.74358075756
1,1,1,550.258799740433
1,1,0,1058.05962157991
1,1,0,767.488237369682
1,1,1,961.711134729531
1,1,1,932.769946272121
1,1,1,621.197261388884
1,1,1,459.015095471874
1,1,0,639.360182838756
1,1,1,512.641791160333
1,1,1,888.910012620638
1,1,0,691.868338914927
1,1,1,728.748705680934
1,1,1,485.836343541024
1,1,1,870.484457262965
1,1,1,540.649674191386
1,1,1,541.542865711642
1,1,1,488.416925370542
1,1,0,719.371202626427
1,1,1,667.473420224179
1,1,0,644.532243632055
1,1,0,588.473947107166
1,1,1,1006.9421027746
1,1,1,576.294055754225
1,1,0,850.770976712423
1,1,1,504.200309617613
1,1,1,871.125197223987
1,1,1,685.881015308913
1,1,1,1046.87256126082
1,1,0,633.477847526772
1,1,0,928.832255696022
1,1,1,727.922891629861
1,1,0,745.025276118826
1,1,1,884.148548339414
1,1,1,781.142879073941
1,1,1,699.570374988141
1,1,1,1258.22538064836
1,1,0,601.135353319568
1,1,0,544.645223673775
1,1,1,777.502490645717
1,1,0,511.002810364699
1,1,1,640.492484918243
1,1,1,735.798780863957
1,1,1,588.456972366317
1,1,0,684.451117407524
1,1,0,746.300462716236
1,1,1,497.581641449732
1,1,0,851.685780367415
1,1,0,743.109131389225
1,1,0,538.506282380636
1,1,1,585.005429177241
1,1,0,838.617362385941
1,1,0,606.549228525031
1,1,0,447.272913203318
1,1,1,699.723688074291
1,1,1,671.65190989182
1,1,1,464.712701444254
1,1,1,928.358733844228
1,1,0,711.067339607919
1,1,1,597.450483984716
1,1,1,724.12601279351
1,1,1,725.712466305957
1,1,1,606.044978429358
1,1,1,561.98743028652
1,1,0,762.988921587963
1,1,1,996.209200353214
1,1,1,1415.85433878685
1,1,0,662.638080336241
1,1,1,525.832714557508
1,1,0,640.708929665344
1,1,0,648.600713030895
1,1,0,599.126935360581
1,1,1,582.008115987489
1,1,1,524.829472847019
1,1,0,825.96403658426
1,1,0,677.75521744685
1,1,0,688.86165070148
1,1,1,733.949578014228
1,1,1,481.251593298873
1,1,0,695.3183156662
1,1,1,1388.13834542372
1,1,1,626.524746891819
1,1,0,708.143310374031
1,1,1,715.784632743831
1,1,1,949.774451767586
1,1,1,541.21844024016
1,1,0,607.687065746988
1,1,1,590.059875949536
1,1,0,559.9323638079
1,1,1,1124.43221765754
1,1,0,738.594726807587
1,1,0,622.89653185585
1,1,0,684.855390153802
1,1,0,746.913354031125
1,1,0,557.813916524567
1,1,0,876.303082901423
1,1,1,684.186813354489
1,1,1,521.37327106152
1,1,1,687.868196809482
1,1,1,688.134825988577
1,1,0,498.028378209668
1,1,1,1014.71715069703
1,1,0,688.060231437724
1,1,1,559.066113717982
1,1,1,562.338523810233
1,1,1,666.732673948494
1,1,1,588.911519929559
1,1,1,597.339882826997
1,1,0,556.945603549241
1,1,1,1018.48296139911
1,1,1,623.516999014351
1,1,0,640.100122022346
1,1,0,1171.73721452103
1,1,0,787.397802033309
1,1,1,689.721206281044
1,1,0,1075.88643246007
1,1,1,814.511663952175
1,1,1,782.946839415651
1,1,1,816.830512845751
1,1,1,579.148388796092
1,1,1,741.687685998123
1,1,0,569.705215051954
1,1,0,651.860141987769
1,1,1,765.243753011965
1,1,1,904.724728057941
1,1,1,525.516820108439
1,1,1,1090.49491787135
1,1,1,771.340579254603
1,1,0,515.304209215986
1,1,0,483.886006392962
1,1,1,540.986396898796
1,1,1,1096.45477593831
1,1,1,654.242536823569
1,1,0,506.517993517152
1,1,1,823.296777796379
1,1,1,1116.00707009071
1,1,0,632.166824680028
1,1,0,1111.41625793857
1,1,0,983.513024475063
1,1,0,521.086502143014
1,1,0,771.547253854035
1,1,1,634.539309630974
1,1,0,757.220776224236
1,1,1,607.419961632477
1,1,1,1212.00606632162
1,1,1,825.742786073939
1,1,1,410.417851643152
1,1,0,712.550797963046
1,1,1,566.300732595026
1,1,1,642.866066941865
1,1,1,575.127956361947
1,1,1,746.294317470071
1,1,1,559.583484635591
1,1,1,762.356187562702
1,1,0,507.411753802994
1,1,1,476.828873109232
1,1,1,583.111181635727
1,1,1,781.043736975865
1,1,1,523.863561049507
1,1,1,551.623214183797
1,1,1,584.607488055
1,1,1,1218.51248733573
1,1,0,762.719239681959
1,1,1,1342.3400194545
1,1,1,807.004939150461
1,1,1,681.703309152672
1,1,1,437.232359327356
1,1,1,580.48530746883
1,1,0,1126.76382101896
1,1,0,809.760986121971
1,1,1,614.675201987711
1,1,0,562.708635266585
1,1,1,796.710382483788
1,1,0,683.341069833116
1,1,1,739.812459138344
1,1,0,800.415035205367
1,1,1,513.60743685804
1,1,1,752.261949412806
1,1,1,735.991859081746
1,1,0,689.10401200708
1,1,1,891.385665152061
1,1,1,714.268055589916
1,1,1,782.979158837377
1,1,0,757.012721914146
